,property_type,society,sector,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,Wardrobe,furnishing_type,luxury_score
0,flat,ashiana apartment,sector 23,0.16,2051.0,780.0,2.0,2.0,2,1.0,Na,Moderately Old,780.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,house,independent,sector 39,1.8,21871.0,823.0,1.0,1.0,2,3.0,North-East,Relatively New,,800.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,house,vipul tatvam villa,sector 48,7.35,22812.0,3222.0,4.0,5.0,2,2.0,South,Moderately Old,3222.0,,,1.0,1.0,1.0,1.0,0.0,4.0,1.0,144.0
3,flat,mapsko casa bella,sector 82,3.0,6134.0,4891.0,4.0,6.0,3+,25.0,West,Relatively New,4890.0,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,119.0
4,flat,ansal heights 86,sector 86,0.64,4706.0,1360.0,2.0,2.0,1,3.0,Na,New Property,,1360.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0
5,house,independent,sector 110,1.0,8795.0,1137.0,3.0,2.0,2,1.0,North,Old Property,,120.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,flat,signature global park,sohna road,0.95,7845.0,1211.0,3.0,2.0,3+,1.0,Na,Relatively New,,1210.723472,756.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
7,flat,vasant appartments,sector 14,1.7,7391.0,2300.0,5.0,5.0,2,2.0,North-West,Old Property,,,2300.0,1.0,0.0,1.0,1.0,0.0,5.0,2.0,71.0
8,house,independent,sector 43,7.5,38760.0,1935.0,12.0,12.0,3+,4.0,East,New Property,1935.0,,,1.0,1.0,1.0,1.0,0.0,12.0,1.0,72.0
9,flat,lotus homz,sector 111,0.7,10057.0,696.0,2.0,2.0,2,8.0,East,Relatively New,,,696.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,68.0
10,flat,unitech sunbreeze,sector 69,1.0,5476.0,1826.0,4.0,3.0,0,0.0,Na,Undefined,,1826.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,flat,lotus homz,sector 111,0.6,8451.0,710.0,2.0,2.0,3,9.0,East,New Property,,,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
12,flat,shapoorji pallonji joyville gurugram,sector 102,1.95,13929.0,1400.0,3.0,3.0,3,6.0,North-East,New Property,1852.0,,1400.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,174.0
13,flat,antriksh heights,sector 84,0.79,4580.0,1725.0,3.0,3.0,3+,8.0,West,New Property,1725.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
14,flat,dlf garden city floors,sector 92,1.7,8586.0,1980.0,3.0,4.0,2,1.0,Na,Under Construction,1630.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
15,flat,dlf the crest,sector 54,11.0,35484.0,3100.0,4.0,5.0,3+,7.0,North-East,Relatively New,,,3100.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,49.0
16,flat,unitech uniworld gardens,sector 47,1.05,10532.0,997.0,2.0,2.0,2,3.0,North-East,Relatively New,,,997.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,34.0
17,house,dlf new town heights,sector 91,2.5,7058.0,3542.0,4.0,4.0,3+,3.0,East,Moderately Old,3542.0,,,1.0,1.0,1.0,1.0,0.0,7.0,1.0,80.0
18,flat,apna enclave,sector 3,0.5,7692.0,650.0,2.0,2.0,1,1.0,West,Old Property,,,650.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,37.0
19,flat,spaze privy,sector 72,1.9,9620.0,1975.0,3.0,3.0,3,10.0,Na,Undefined,,1975.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,flat,umang winter hills,sector 77,0.86,6408.0,1342.0,2.0,2.0,2,16.0,Na,New Property,1342.0,,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,79.0
21,flat,godrej oasis,sector 90,1.19,10162.0,1171.0,2.0,2.0,3,15.0,South-East,Relatively New,1628.0,,1171.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,174.0
22,flat,sbtl caladium,sector 109,1.7,6680.0,2545.0,3.0,3.0,3+,9.0,North-East,Relatively New,2545.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,159.0
23,flat,tulip lemon,sector 69,0.6,11407.0,526.0,2.0,1.0,1,11.0,Na,Undefined,,,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,house,independent,sector 4,0.85,7522.0,1130.0,3.0,3.0,0,1.0,,Undefined,,1130.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,flat,eldeco accolade,sohna road,0.78,5420.0,1439.0,2.0,2.0,2,7.0,North,Relatively New,1457.0,,,1.0,0.0,0.0,0.0,0.0,2.0,1.0,137.0
26,flat,emaar gurgaon greens,sector 102,1.4,8485.0,1650.0,3.0,3.0,3,10.0,East,Relatively New,1650.0,1300.0,1022.58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0
